"muscles_p1-combined.Label-Analysis"
"Length3d","VoxelFaceArea","Volume3d","OrientationPhi","index","Materials"
1.529,1.22017,0.0252171,28.2501,128,""
1.64251,1.47159,0.0275616,16.574,129,""
2.06701,1.75347,0.0340641,17.8762,130,""
2.61324,3.4376,0.0710209,17.154,131,""
1.35603,0.682984,0.0102467,19.5133,132,""
2.74759,4.326,0.118627,18.8647,133,""
2.399,3.30541,0.0798329,16.6383,134,""
2.19957,2.4682,0.0521022,17.0266,135,""
2.50943,2.38656,0.0543708,18.1171,136,""
2.23893,1.61804,0.0323729,15.0839,137,""
2.37114,1.42753,0.0226569,26.1911,138,""
2.36969,1.37893,0.0256079,15.5457,139,""
2.37418,1.68154,0.0325245,23.6088,140,""
2.78156,2.68658,0.0656964,17.3779,141,""
2.72968,2.08718,0.0413948,19.6194,142,""
1.80543,1.19879,0.0201434,15.8665,143,""
2.15477,1.42688,0.0230185,18.6239,144,""
2.39299,1.50399,0.0260744,13.3692,145,""
2.80677,3.31448,0.0577417,19.4974,146,""
2.07953,1.64201,0.0315156,17.2801,147,""
1.9595,1.07632,0.0184521,15.1055,148,""
1.14341,0.443227,0.00512624,31.4434,149,""
1.47295,0.711496,0.0106257,15.7696,150,""
1.47233,1.00828,0.0199043,12.6387,151,""
1.23771,0.815175,0.0152563,12.3466,152,""
1.22684,0.572826,0.00815883,26.0197,153,""
0.851693,0.37454,0.00556364,21.6126,154,""
1.01224,0.486643,0.00767478,21.9524,155,""
0.971216,0.455539,0.00687581,20.6407,156,""
1.00762,0.511914,0.00707993,29.9065,157,""
1.04538,0.460075,0.00647341,30.3036,158,""
0.856748,0.499602,0.0082813,23.6671,159,""
0.634567,0.267621,0.00345249,23.0118,160,""
1.46579,1.40938,0.0259053,26.4122,161,""
1.89858,1.35171,0.0246864,10.8903,162,""
3.42272,4.27157,0.127456,11.644,163,""
2.50045,2.20512,0.0498511,16.0831,164,""
3.23104,2.21095,0.0433252,6.92474,165,""
3.37079,2.90301,0.0717791,9.96874,166,""
1.28958,0.931166,0.0198518,7.0573,167,""
2.89687,3.956,0.109786,20.5737,168,""
2.84068,2.33796,0.0508075,13.7212,169,""
3.02163,2.46043,0.0450689,15.136,170,""
3.65561,4.33118,0.129742,12.1236,171,""
3.35096,4.42644,0.109278,9.3137,172,""
3.49622,4.49189,0.12275,7.90959,173,""
3.11223,2.38915,0.0553156,13.8297,174,""
2.51707,2.67103,0.0472151,15.7393,175,""
3.01606,2.93282,0.0814775,11.9108,176,""
1.16268,0.964861,0.0189653,13.9184,177,""
3.25081,3.29569,0.0932696,10.7334,178,""
2.54148,1.76772,0.0355921,3.05837,179,""
3.56948,3.88796,0.116294,3.98524,180,""
3.72,2.45589,0.0518106,7.05382,181,""
2.76365,1.62257,0.029422,9.48437,182,""
3.67694,3.89962,0.105832,4.85054,183,""
3.99398,4.26703,0.109832,8.06587,184,""
4.34134,4.40959,0.129859,8.43276,185,""
3.99392,3.39095,0.0785849,7.30492,186,""
4.34134,4.14132,0.100594,8.55067,187,""
1.69426,1.36921,0.0341225,8.45175,188,""
3.84352,2.65418,0.0581033,11.2114,189,""
3.58091,3.21275,0.0847142,12.6518,190,""
3.99039,3.60997,0.100017,10.5683,191,""
1.21075,0.528762,0.00744151,4.85816,192,""
3.22386,3.19525,0.0960398,4.35977,193,""
3.7917,7.40332,0.199393,9.0041,194,""
3.20415,2.30297,0.0505218,5.52065,195,""
2.46271,1.82604,0.0405026,7.79684,196,""
3.38505,2.64251,0.0621739,6.17485,197,""
1.04597,0.606521,0.00919108,11.6855,198,""
1.42034,0.699832,0.011483,10.3945,199,""
2.12949,1.65562,0.0343382,3.51063,200,""
1.7844,1.28562,0.0288679,8.68041,201,""
2.76538,1.90769,0.0464744,9.52609,202,""
1.26268,0.68428,0.0107074,18.7276,203,""
1.30755,1.03938,0.021199,20.2813,204,""
1.42805,1.04068,0.018458,21.7129,205,""
3.24704,3.6981,0.12184,5.41111,206,""
2.54669,1.89084,0.0423863,9.31032,207,""
0.571588,0.311037,0.00468885,45.6412,208,""
3.05536,2.58808,0.0748758,2.55511,209,""
3.37426,3.30023,0.0911818,13.0035,210,""
3.33126,2.07163,0.0397211,5.26582,211,""
1.4543,0.848223,0.0155595,5.98428,212,""
2.69548,1.59665,0.0286288,12.8196,213,""
3.14856,2.52004,0.0635794,12.9192,214,""
2.95167,1.51177,0.028343,10.7905,215,""
3.6501,2.55439,0.0443575,11.4139,216,""
3.92329,3.78881,0.0864988,10.4736,217,""
1.80717,1.23443,0.0246048,4.76663,218,""
1.66395,1.03484,0.0185688,9.75793,219,""
0.914668,0.482755,0.00705077,16.7067,220,""
