"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,73
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,74
30.372,32.4026,36.1474,1.7593,30.8878,32.5618,35.3338,30.1858,32.3638,36.9178,31.1165,-166.64,0.0179273,75
30.7901,32.3224,36.2033,1.6894,31.1038,32.6518,35.4958,30.4738,32.2198,37.0078,31.1165,-166.64,0.0341166,76
30.751,32.1216,36.1528,1.67184,31.0858,32.4178,35.4418,30.4558,32.0038,36.9358,31.1165,-166.64,0.028658,77
30.7403,32.7098,36.0378,1.42545,30.9418,32.9218,35.3518,30.4918,32.6518,36.6838,31.1165,-166.64,0.0274391,78
30.9393,32.8001,36.1407,1.42536,31.1938,32.9758,35.4958,30.7618,32.7598,36.8458,31.1165,-166.64,0.0237242,79
31.0041,32.6015,36.179,1.56954,31.3738,32.7058,35.4598,30.7078,32.5258,36.8458,31.1165,-166.64,0.0298885,80
31.5767,32.2756,36.2116,1.74703,32.0758,32.5798,35.5858,31.1038,32.2018,36.9718,31.1165,-166.64,0.0346707,81
31.2197,32.563,36.1489,1.50753,31.5538,32.6878,35.4778,30.8878,32.3818,36.7738,31.1165,-166.64,0.0371667,82
31.2739,32.2256,36.137,1.66396,31.6258,32.4718,35.4778,30.9238,32.0398,36.9178,31.1165,-166.64,0.0308858,83
31.4241,31.9293,36.2093,1.81257,32.1118,32.1298,35.7118,30.8518,31.8058,36.9898,56.3636,-171.371,0.0656847,84
30.9781,32.2188,36.1648,1.60366,31.3378,32.4178,35.4238,30.7258,32.1118,36.8638,31.1165,-166.64,0.0383623,85
30.8332,31.7162,36.1138,1.87174,31.0678,31.9318,35.2618,30.6358,31.6078,37.0798,5.72958,180,0.0464103,86
30.4625,31.4131,36.3005,2.15297,30.7978,31.5538,35.2618,30.2398,31.4278,37.3498,5.72958,180,0.031778,87
30.6079,31.2254,36.2937,2.16549,30.8698,31.5358,35.1358,30.3658,31.1758,37.2418,5.72958,180,0.0386714,88
30.6202,31.5093,36.239,2.06162,30.9598,31.6978,35.2438,30.4198,31.4458,37.2418,5.72958,180,0.0457863,89
30.3092,31.0679,36.353,2.50039,30.5458,31.2478,35.0638,30.0958,31.1218,37.5118,5.72958,180,0.103989,90
31.0022,30.9885,36.4453,2.08245,31.4818,31.2658,35.5138,30.7978,30.9958,37.4758,31.1165,-166.64,0.0367468,91
30.8879,31.454,36.3124,2.02565,31.3198,31.6798,35.3878,30.5998,31.3918,37.2598,31.1165,-166.64,0.0355746,92
