"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0.0521022,2.19957,5.72958,180,134,""
0,-inf,5.72958,180,135,""
0.0323729,2.23893,5.72958,180,136,""
0.0226569,2.37114,31.1165,-166.64,137,""
0.0256079,2.36969,5.72958,180,138,""
0.0325245,2.37418,31.1165,-166.64,139,""
0.0656964,2.78156,5.72958,180,140,""
0.0413948,2.72968,5.72958,180,141,""
0.0201434,1.80543,5.72958,180,142,""
0.0230185,2.15477,5.72958,180,143,""
0.0260744,2.39299,5.72958,180,144,""
0.0577417,2.80677,5.72958,180,145,""
0.0315156,2.07953,5.72958,180,146,""
0.0184521,1.9595,5.72958,180,147,""
0.00512624,1.14341,31.1165,-166.64,148,""
0.0106257,1.47295,31.1165,-166.64,149,""
0.0199043,1.47233,5.72958,180,150,""
0.0152563,1.23771,5.72958,180,151,""
0.00815883,1.22684,31.1165,-166.64,152,""
0.00556364,0.851693,31.1165,-166.64,153,""
0.00767478,1.01224,31.1165,-166.64,154,""
0.00687581,0.971216,31.1165,-166.64,155,""
0.00707993,1.00762,34.0544,142.221,156,""
0.00647341,1.04538,34.0544,142.221,157,""
0.0082813,0.856748,34.0544,142.221,158,""
0.00345249,0.634567,34.0544,142.221,159,""
0.0259053,1.46579,31.1165,-166.64,160,""
0.0246864,1.89858,5.72958,180,161,""
0.127456,3.42272,5.72958,180,162,""
0.0433252,3.23104,5.72958,180,163,""
0.0717791,3.37079,5.72958,180,164,""
0.0198518,1.28958,5.72958,180,165,""
0,-inf,5.72958,180,166,""
0,-inf,5.72958,180,167,""
0,-inf,5.72958,180,168,""
0,-inf,5.72958,180,169,""
0,-inf,5.72958,180,170,""
0,-inf,5.72958,180,171,""
0,-inf,5.72958,180,172,""
0,-inf,5.72958,180,173,""
0,-inf,5.72958,180,174,""
0,-inf,5.72958,180,175,""
0,-inf,5.72958,180,176,""
0,-inf,5.72958,180,177,""
0,-inf,5.72958,180,178,""
0,-inf,5.72958,180,179,""
0,-inf,5.72958,180,180,""
0,-inf,5.72958,180,181,""
0,-inf,5.72958,180,182,""
0,-inf,5.72958,180,183,""
0,-inf,5.72958,180,184,""
0,-inf,5.72958,180,185,""
0.0341225,1.69426,5.72958,180,186,""
0,-inf,5.72958,180,187,""
0,-inf,5.72958,180,188,""
0,-inf,5.72958,180,189,""
0,-inf,5.72958,180,190,""
0,-inf,5.72958,180,191,""
0,-inf,5.72958,180,192,""
0,-inf,5.72958,180,193,""
0,-inf,5.72958,180,194,""
0,-inf,5.72958,180,195,""
0,-inf,5.72958,180,196,""
0,-inf,5.72958,180,197,""
0,-inf,5.72958,180,198,""
0,-inf,5.72958,180,199,""
0,-inf,5.72958,180,200,""
0,-inf,5.72958,180,201,""
0,-inf,5.72958,180,202,""
