,input2planeDistance,barycenter2planeDistance,output2planeDistance,input2planePointX,input2planePointY,input2planePointZ,barycenter2planePointX,barycenter2planePointY,barycenter2planePointZ,output2planePointX,output2planePointY,output2planePointZ
1128,4.556286353406767,3.2378813306734355,1.9993667955938899,22.2658763,7.559958,18.0718996,22.7338737,8.9639502,18.2878984,22.7338737,10.259943,18.215898799999998
1129,4.008444769395721,2.9682375419551463,1.8606185891006382,22.2658763,7.559958,18.0718996,22.7338737,8.9639502,18.2878984,22.4818751,10.295942799999999,18.0358998
1130,3.79913037781615,2.76396655476071,1.948151387782053,22.3378759,8.063955199999999,18.089899499999998,22.3378759,8.9639502,18.0178999,22.2298765,9.7559458,17.9099005
1131,4.97312187648396,3.5516863372191723,2.242775983052086,23.6338687,6.9119616,18.737895899999998,22.3378759,8.9639502,18.0178999,22.4818751,10.295942799999999,18.0358998
1132,3.9264957270415883,3.068283460681325,2.3217777894032796,23.741868099999998,8.4239532,18.719896,23.489869499999998,9.179948999999999,18.6298965,22.7338737,10.259943,18.215898799999998
1133,4.46669612982748,3.458323742793485,2.351313371239708,22.2658763,7.559958,18.0718996,22.2658763,8.639952,17.9999,22.049877499999997,9.827945399999999,17.7839012
1134,3.084764864344396,2.2327132844487356,1.7453406982288642,22.3378759,8.063955199999999,18.089899499999998,22.4818751,9.1439492,18.1078994,22.2658763,9.539947,17.9279004
1135,3.8068405503839124,2.8488218308364757,1.8129929614042768,21.9418781,7.2719596,17.8919006,22.3378759,8.5679524,18.0538997,22.2658763,9.539947,17.9279004
1136,3.1527070208801167,2.4255157454408702,1.7808988628492888,22.2658763,8.1359548,18.0358998,22.3378759,8.9639502,18.0178999,22.2658763,9.539947,17.9279004
1137,3.7805360987089025,2.801226305003255,1.6757317204393636,21.4378809,7.091960599999999,17.5859023,21.6178799,8.0279554,17.6219021,21.9418781,9.2519486,17.7479014
1138,2.500885144462464,1.720850689656543,0.9763182927864356,21.6178799,6.9119616,17.693901699999998,21.8698785,7.847956399999999,17.8019011,22.049877499999997,8.783951199999999,17.8559008
1139,2.3657374777799713,1.7857134621485105,1.3187921273853889,22.2658763,8.1359548,18.0358998,22.2658763,8.639952,17.9999,22.049877499999997,9.2519486,17.819900999999998
1140,3.3530581678144222,2.2863416012838806,1.2687056850387641,23.741868099999998,7.559958,18.755895799999998,23.5618691,8.6759518,18.6658963,22.7338737,9.899944999999999,18.233898699999997
1141,2.83336951339704,1.703916588477737,0.6842329997993738,23.7058683,6.1919656,18.755895799999998,23.4178699,8.063955199999999,18.6658963,22.6258743,9.2159488,18.215898799999998
1142,3.311443515800692,2.0499349521703607,1.0362065767177604,22.3378759,8.063955199999999,18.089899499999998,22.6258743,8.8559508,18.233898699999997,22.4818751,9.6479464,18.0718996
1143,1.7492346902844225,0.9968434976618296,0.44420018866057454,23.885867299999997,8.3519536,18.7918956,23.6338687,9.0719496,18.6838962,23.1658713,9.899944999999999,18.485897299999998
1144,1.9788432202983792,1.3795487862553972,0.7817014842117546,24.2458653,8.2079544,18.9358948,23.6338687,9.0719496,18.6838962,23.201871099999998,9.899944999999999,18.5038972
1145,1.8043945864750566,1.1733118526813278,0.27475654897077517,23.7058683,6.1919656,18.755895799999998,23.6698685,7.9559558,18.737895899999998,23.2378709,9.7559458,18.539897
1146,1.9175596845244451,1.1957408219359789,0.4585560637550113,24.2458653,8.2079544,18.9358948,23.6338687,9.0719496,18.6838962,23.3098705,10.4039422,18.539897
1147,2.539517344339087,1.3160869099164614,0.32449781201612127,23.7058683,6.1919656,18.755895799999998,23.3818701,8.1359548,18.6478964,22.8058733,9.3959478,18.3238982
1148,1.3529891574053723,0.732487568779539,0.09693242801194035,22.6258743,7.7759567999999994,18.3058983,22.8778729,7.9919556,18.4498975,22.7338737,8.9639502,18.2878984
1149,1.9866867254103802,0.974989967963435,0.10948911726911491,22.3378759,6.839962,18.1618991,22.8778729,7.9919556,18.4498975,22.9858723,9.179948999999999,18.4498975
1150,2.2588978072851127,1.528296452810151,1.0351116339956141,23.741868099999998,8.4239532,18.719896,23.3818701,9.2159488,18.5938967,22.7338737,9.899944999999999,18.233898699999997
1151,2.207612703567005,0.9046628689325432,0.04024899998819847,22.6258743,6.5159638,18.3778979,23.3818701,8.1359548,18.6478964,23.093871699999998,9.2159488,18.5038972
1152,2.0737415984959964,1.1531180449724303,0.3662437843897695,22.4818751,7.0199609999999995,18.2518986,23.201871099999998,8.1719546,18.5938967,22.6258743,9.2159488,18.215898799999998
1153,2.9678008919521286,1.6865243537191479,0.6650226206781616,22.3378759,6.695962799999999,18.179899,22.8778729,7.9919556,18.4498975,22.7338737,9.3959478,18.2698985
1154,2.086513749519607,1.494425369588234,0.6507405741254113,23.741868099999998,7.559958,18.755895799999998,23.6698685,8.5319526,18.7018961,22.949872499999998,9.7559458,18.3958978
1155,1.9609980295040301,1.0134439244633615,0.11095883561204127,23.7058683,6.1919656,18.755895799999998,23.345870299999998,7.5959578,18.6658963,22.8778729,9.0719496,18.485897299999998
1156,1.4578807852721016,1.1057858805563308,0.4809713396941028,23.5618691,8.099955,18.7018961,23.3818701,8.711951599999999,18.611896599999998,22.949872499999998,9.575946799999999,18.4138977
1157,1.6224890600806063,1.1435250195952686,0.6763748345511681,22.049877499999997,7.7039572,17.9279004,22.2658763,8.1359548,18.0358998,22.2658763,9.0359498,17.963900199999998
1158,2.0590815648076837,1.5983465250310553,1.2947422035493166,21.8698785,8.3519536,17.7659013,22.049877499999997,8.783951199999999,17.8559008,22.049877499999997,9.107949399999999,17.837900899999998
1159,1.54117410063669,0.7388734221887061,0.5122861348973833,23.885867299999997,6.335964799999999,18.8098955,23.741868099999998,7.559958,18.755895799999998,23.4178699,9.2159488,18.6658963
1160,1.594795203177668,0.613318694001422,0.3843726816574768,23.7058683,6.1919656,18.755895799999998,23.5618691,8.099955,18.7018961,23.201871099999998,9.2519486,18.5938967
1161,1.428470975295956,0.42785273869130486,0.48365835132582996,22.4818751,5.7959678,18.3238982,23.0218721,7.6319576,18.5758968,22.9138727,8.711951599999999,18.5218971
1162,0.6785269960835825,0.13589626485142997,0.5945419013079818,22.3378759,6.839962,18.1618991,22.6618741,7.7039572,18.359897999999998,22.697873899999998,8.459953,18.4138977
