"muscles_p1-final.Label-Analysis"
"Volume3d","Flatness","FirstPointZ","FeretShape3d","index"
0.0082813,0.576374,348,4.09469,158
0.00345249,0.600331,373,3.48837,159
0.0259053,0.416393,346,4.86753,160
0.0246864,0.342471,316,6.39484,161
0.127456,0.476299,285,6.65996,162
0.0433252,0.147476,290,7.64452,163
0.0717791,0.261081,298,7.53028,164
0.0198518,0.347973,362,4.77735,165
0,-1,-2,nan,166
0,-1,-2,nan,167
0,-1,-2,nan,168
0,-1,-2,nan,169
0,-1,-2,nan,170
0,-1,-2,nan,171
0,-1,-2,nan,172
0,-1,-2,nan,173
0,-1,-2,nan,174
0,-1,-2,nan,175
0,-1,-2,nan,176
0,-1,-2,nan,177
0,-1,-2,nan,178
0,-1,-2,nan,179
0,-1,-2,nan,180
0,-1,-2,nan,181
0,-1,-2,nan,182
0,-1,-2,nan,183
0,-1,-2,nan,184
0,-1,-2,nan,185
0.0341225,0.412793,291,7.23824,186
0,-1,-2,nan,187
0,-1,-2,nan,188
0,-1,-2,nan,189
0,-1,-2,nan,190
0,-1,-2,nan,191
0,-1,-2,nan,192
0,-1,-2,nan,193
0,-1,-2,nan,194
0,-1,-2,nan,195
0,-1,-2,nan,196
0,-1,-2,nan,197
0,-1,-2,nan,198
0,-1,-2,nan,199
0,-1,-2,nan,200
0,-1,-2,nan,201
0,-1,-2,nan,202
0,-1,-2,nan,203
0,-1,-2,nan,204
0,-1,-2,nan,205
0,-1,-2,nan,206
0,-1,-2,nan,207
0,-1,-2,nan,208
0,-1,-2,nan,209
0,-1,-2,nan,210
0,-1,-2,nan,211
0,-1,-2,nan,212
0,-1,-2,nan,213
0,-1,-2,nan,214
0,-1,-2,nan,215
0,-1,-2,nan,216
0,-1,-2,nan,217
0,-1,-2,nan,218
0,-1,-2,nan,219
0,-1,-2,nan,220
0,-1,-2,nan,221
0,-1,-2,nan,222
0,-1,-2,nan,223
0,-1,-2,nan,224
0,-1,-2,nan,225
0,-1,-2,nan,226
0,-1,-2,nan,227
0,-1,-2,nan,228
0,-1,-2,nan,229
0,-1,-2,nan,230
0,-1,-2,nan,231
0,-1,-2,nan,232
0,-1,-2,nan,233
0.0484923,0.453805,339,4.09497,234
0.0402635,0.277291,330,3.56929,235
0,-1,-2,nan,236
0,-1,-2,nan,237
0,-1,-2,nan,238
0,-1,-2,nan,239
0,-1,-2,nan,240
0,-1,-2,nan,241
0,-1,-2,nan,242
0,-1,-2,nan,243
0,-1,-2,nan,244
0,-1,-2,nan,245
0,-1,-2,nan,246
0,-1,-2,nan,247
0,-1,-2,nan,248
0,-1,-2,nan,249
0,-1,-2,nan,250
0,-1,-2,nan,251
0,-1,-2,nan,252
0,-1,-2,nan,253
0.217087,0.477428,396,6.92504,254
0,-1,-2,nan,255
0,-1,-2,nan,256
0,-1,-2,nan,257
0,-1,-2,nan,258
0,-1,-2,nan,259
0,-1,-2,nan,260
0,-1,-2,nan,261
0,-1,-2,nan,262
0,-1,-2,nan,263
0,-1,-2,nan,264
0,-1,-2,nan,265
0,-1,-2,nan,266
0,-1,-2,nan,267
0,-1,-2,nan,268
0,-1,-2,nan,269
0,-1,-2,nan,270
0,-1,-2,nan,271
0,-1,-2,nan,272
0,-1,-2,nan,273
0,-1,-2,nan,274
0,-1,-2,nan,275
0,-1,-2,nan,276
0.187857,0.714527,365,11.5521,277
0,-1,-2,nan,278
0,-1,-2,nan,279
0,-1,-2,nan,280
0,-1,-2,nan,281
0,-1,-2,nan,282
0,-1,-2,nan,283
0,-1,-2,nan,284
0,-1,-2,nan,285
0,-1,-2,nan,286
0,-1,-2,nan,287
0,-1,-2,nan,288
0,-1,-2,nan,289
0,-1,-2,nan,290
0.0945585,0.546093,430,11.7972,291
0.175138,0.751988,409,8.26674,292
0,-1,-2,nan,293
0,-1,-2,nan,294
0,-1,-2,nan,295
0,-1,-2,nan,296
0,-1,-2,nan,297
0,-1,-2,nan,298
0,-1,-2,nan,299
0,-1,-2,nan,300
0,-1,-2,nan,301
0.164512,0.237325,453,7.42276,302
0.262511,0.591504,377,9.17421,303
0.171557,0.74557,322,10.581,304
0.156301,0.589181,309,10.1992,305
0.247646,0.326396,304,10.1391,306
0.192488,0.393009,304,10.0411,307
0.121216,0.629477,307,10.1649,308
0.0795763,0.432253,297,11.5929,309
0.0949084,0.351594,314,13.7493,310
0.158744,0.41798,308,9.98186,311
0.119624,0.474762,293,12.2375,312
0.0752082,0.326961,305,12.9137,313
0.124902,0.34777,321,10.3095,314
0.0751091,0.507009,307,9.91929,315
0.120044,0.481251,299,9.72185,316
0.106753,0.433897,283,9.80465,317
0.132787,0.425103,329,7.00831,318
0.0791214,0.43981,334,9.46602,319
0.150551,0.729841,307,7.17336,320
0.0643667,0.506495,298,9.13462,321
0.0735403,0.586363,323,8.41725,322
0.0880851,0.20499,309,10.8318,323
0.051484,0.755918,341,13.5518,324
0.0603894,0.681348,312,11.2826,325
0.0892281,0.612078,321,7.31821,326
0.0344432,0.461289,353,9.13852,327
0,-1,-2,nan,328
0,-1,-2,nan,329
0.0193036,0.13408,313,4.47012,330
0,-1,-2,nan,331
0.0371959,0.427442,318,7.03974,332
0,-1,-2,nan,333
0,-1,-2,nan,334
0,-1,-2,nan,335
0,-1,-2,nan,336
0,-1,-2,nan,337
0,-1,-2,nan,338
0,-1,-2,nan,339
0.0557413,0.765049,365,6.52848,340
0.113022,0.543876,333,9.99047,341
0.192674,0.407901,338,9.90005,342
0.366978,0.754333,358,8.56803,343
0.0777451,0.274407,366,13.7602,344
0.191059,0.485303,347,10.6263,345
0.0533444,0.386013,365,15.7014,346
0.0577009,0.363817,394,10.5833,347
0.0178515,0.205186,325,7.71309,348
0.0258995,0.193715,453,9.4252,349
0.0839444,0.376153,398,8.50042,350
0.0445499,0.480009,316,10.5733,351
0.0686532,0.302992,390,12.3132,352
0.125753,0.372346,301,9.30279,353
0.0326353,0.79945,379,8.70398,354
0.11129,0.233513,318,8.07381,355
0.0483873,0.378017,328,8.48224,356
0.0990665,0.150052,323,10.1847,357
0.0217938,0.663844,407,6.23189,358
0.0801129,0.538897,317,7.90217,359
0.061684,0.280794,352,4.8971,360
0.106228,0.556085,307,5.48937,361
0.0350264,0.764896,326,9.39056,362
0.00875369,0.640039,293,5.61437,363
0.0173324,0.295622,280,5.55572,364
0.0172566,0.306005,328,5.73531,365
0.0264652,0.78063,294,8.04478,366
0.0403043,0.703117,305,6.89804,367
0.0588672,0.210464,292,8.16086,368
0.0273691,0.904575,302,6.75397,369
0.102041,0.181442,306,6.12087,370
0.0614216,0.786745,303,5.67663,371
0.0315214,0.480658,326,6.50314,372
0.00491046,0.219679,326,2.79524,373
0.0310665,0.785338,338,4.7377,374
0.0265352,0.298585,336,5.21912,375
0.00974511,0.372414,359,5.38886,376
0.00661338,0.805701,366,5.74837,377
0.012072,0.522736,347,6.6962,378
0.029836,0.520618,334,5.65581,379
0.0224762,0.32938,347,5.91789,380
0.0138858,0.463124,345,4.31501,381
0.0192744,0.21571,340,10.5466,382
0.0484631,0.247063,347,5.74731,383
0.0588731,0.78967,343,5.70309,384
0.0390621,0.502976,320,9.16424,385
0.065743,0.271417,343,9.59077,386
0.061929,0.528356,345,6.08369,387
0.0686648,0.499786,366,6.29077,388
0.0506326,0.157143,352,11.2765,389
0.0100834,0.740899,368,4.78642,390
0.0188079,0.643286,353,6.02477,391
0.124225,0.395824,326,8.71779,392
0.113372,0.73653,342,8.81269,393
0.123776,0.466054,342,10.9537,394
0.0683441,0.728643,356,8.31795,395
0.10435,0.528411,336,8.40796,396
0.0981043,0.141785,324,6.92091,397
0.169143,0.300355,357,8.88042,398
0.151023,0.676924,351,7.65407,399
0.0881201,0.447961,361,8.01155,400
0.0491163,0.522846,351,8.73296,401
0.0534377,0.528031,358,10.9046,402
0.0694521,0.319835,354,7.52753,403
0.0160027,0.667745,387,9.18155,404
0.0488189,0.617166,361,7.18313,405
0.102023,0.235815,356,6.48404,406
0.0335334,0.357866,431,5.02163,407
